,com,TH,TH_2
0,0.0,0.5620470646505721,0.9207168983143671
1,1.0,0.073699599472173,0.949846924450055
2,2.0,0.706078905702868,0.756136052942866
3,3.0,1.212801397885539,0.15288778433323302
4,4.0,0.718492927020653,0.40756301718563404
5,5.0,0.831270532028162,0.08686398341281101
6,6.0,0.59524852102559,0.459118828694891
7,7.0,0.677993407383087,0.615905485069818
8,8.0,0.41589450937804,1.04710614558732
9,9.0,0.200009378283133,1.25
10,10.0,0.16208995403991802,1.021614771488423
11,11.0,0.387304677435206,0.37552524419731403
12,12.0,0.624871844913929,-0.15326387488138202
13,13.0,0.634795578957232,0.628317005554988
14,14.0,0.511643704127565,0.7367821542602121
15,15.0,0.467162045174341,-0.063238602086155
16,16.0,1.172096972926762,0.705294056593864
17,17.0,0.885891497506705,0.128532219159804
