,com,TH,TH_2
0,0.0,0.414870234908688,0.602785416861085
1,1.0,0.14585953684733502,0.8651577253134861
2,2.0,0.7087405575797671,0.7595087986840321
3,3.0,0.35087909072113704,0.9216617684710081
4,4.0,0.913905637002532,0.49837859572109505
5,5.0,0.376708992757666,0.480359139839278
6,6.0,0.330138830170707,0.946062808802084
7,7.0,0.600777691969959,0.420429275963686
8,8.0,0.6927478762687781,0.33386667551415905
9,9.0,0.691153324177992,0.214778770322493
10,10.0,0.76567065133175,0.34149900112929005
11,11.0,0.43977783174866303,0.329616055267685
12,12.0,0.654144212600657,0.38759231260417304
13,13.0,0.342544384468253,0.7644066054588491
14,14.0,0.600328430050307,0.38060010727418103
15,15.0,0.270977237907965,0.135779399151486
16,16.0,0.5445290382638971,0.8097965694147701
17,17.0,0.761574305454478,0.281131465494221
18,18.0,0.9093436545656151,0.382876684528136
19,19.0,0.11259407649818001,0.632944132662079
20,20.0,0.36347023246125804,0.16446061158889502
21,21.0,0.334865967926109,0.40879576985027305
22,22.0,0.7446625082866991,0.44006963123825404
