,com,TH,TH_2
0,0.0,0.50929229463044,0.9868989417678331
1,1.0,0.089259725861805,0.750563055181201
2,2.0,0.15339943305269202,0.23157766101613603
3,3.0,0.731346083865784,0.48668177127222106
4,4.0,0.995213730592124,0.4061726460548
5,5.0,0.07702370583389001,0.073072763318695
6,6.0,0.8047334149908171,0.16592252845441702
7,7.0,1.007469613764116,0.08918777870422101
8,8.0,-0.0016395858328720001,0.43851976890033
9,9.0,-0.09399457861913,0.169027807718299
10,10.0,0.122088041082616,0.9527155402371561
11,11.0,0.8828738502162231,0.089017176695194
12,12.0,0.9763009087548381,1.042259500113109
13,13.0,1.071999244748275,0.892163375583735
14,14.0,0.009850422511143,0.052404963001191004
15,15.0,0.518792335212448,1.134515280893448
16,16.0,0.5677362181843211,1.029300569360267
17,17.0,0.37775734012566003,0.201460562449533
18,18.0,0.10952885221047101,0.527017303387594
19,19.0,0.48520788328030806,0.17647538064079202
20,20.0,0.764074927018439,0.7871027112487601
21,21.0,0.7307453636714291,0.7552295606032631
22,22.0,0.008904804598967002,0.270338843901724
