,com,TH,TH_2
0,0.0,0.562079188772259,0.9505271816940841
1,1.0,0.064429298717743,0.700619008130089
2,2.0,0.21073691412355802,0.20049351582767402
3,3.0,0.6684227909789121,0.505981281358962
4,4.0,0.9380931206469451,0.44754929385228803
5,5.0,0.06496594641638201,0.1410865589401
6,6.0,0.7450082159979321,0.206898436169893
7,7.0,0.993681595444399,0.112562267256193
8,8.0,0.033899482210997,0.290466541799681
9,9.0,0.09572609959653,0.18019221817413802
10,10.0,0.12379116423315902,0.9184439465812271
11,11.0,0.951270733907783,0.126113029969772
12,12.0,0.918867899439291,0.915711140875855
13,13.0,0.9453099206026131,0.971834251759018
14,14.0,0.18537549039592502,0.14897474490192802
15,15.0,0.502346827738771,0.9789793241138801
16,16.0,0.55444576071493,0.895708868251714
17,17.0,0.390841830220353,0.261102701621727
18,18.0,0.231892409161,0.618826748751071
19,19.0,0.43658023633138404,0.142751407203938
20,20.0,0.801481806147023,0.7568780525006681
21,21.0,0.7388240579912211,0.7111384244468131
22,22.0,0.08351881754613501,0.27686711649386003
