,com,TH,TH_2
0,0.0,0.497027442373668,1.086307023761558
1,1.0,0.47447281345033504,0.841279739469389
2,2.0,0.15735733229030502,0.777385459637367
3,3.0,0.30643158434071904,1.25
4,4.0,0.751264131669358,0.6683230405167581
5,5.0,0.36715345118818105,0.681330769699508
6,6.0,0.7764618761887161,0.5534361551062641
7,7.0,0.90157834056326,0.23216400422051903
8,8.0,0.75,0.8056062698233251
9,9.0,0.5417396273002411,0.3614842997205
10,10.0,0.9379836069627441,1.25
11,11.0,0.15079975888340702,0.14244181446915102
12,12.0,0.369763478903947,0.9162068257039221
13,13.0,0.946904029698245,1.09099085988685
14,14.0,1.25,1.13131095206026
