,com,TH,TH_2
0,0.0,1.12026917791006,0.567366710533738
1,1.0,0.39298092824810205,0.9380608014749371
2,2.0,0.32094565119677404,1.25
3,3.0,0.40859170265029504,1.11456661993194
4,4.0,0.338142529807944,1.25
5,5.0,0.116503720994251,0.6287759057873561
6,6.0,0.177803908154574,0.7452248856131111
7,7.0,0.125906459698648,1.25
8,8.0,1.017226686244905,0.226369387442754
9,9.0,0.48020744581613906,0.9262846364974321
10,10.0,0.9022422541232161,1.25
11,11.0,0.5450979310310601,0.48623567132523104
12,12.0,1.25,0.5622617510382221
13,13.0,0.7643253068844761,1.25
14,14.0,0.8586760354834381,1.25
